gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YBR250W	47	42	78	84	62
YBR251W	358	579	460	304	560
YBR252W	42	63	138	46	98
YBR253W	220	183	247	271	217
YBR254C	67	53	76	79	69
YBR255C-A	399	519	371	409	445
YBR255W	446	390	385	437	374
YBR256C	4141	1365	1790	6460	1343
YBR257W	127	142	180	192	151
YBR258C	74	82	97	79	92
YBR259W	80	89	120	114	115
YBR260C	218	227	294	278	278
YBR261C	101	128	148	120	116
YBR262C	879	839	670	965	818
YBR263W	1220	1107	1312	1523	1147
YBR264C	242	185	235	265	245
YBR265W	258	356	576	389	487
YBR266C	42	54	99	80	101
YBR267W	158	252	372	253	301
YBR268W	227	274	236	235	289
YBR269C	2324	1713	1322	1860	1506
YBR270C	299	191	206	341	185
YBR271W	87	107	130	112	93
YBR272C	316	239	261	281	253
YBR273C	1084	897	881	996	916
YBR274W	214	238	277	277	240
YBR275C	98	156	192	167	168
YBR276C	332	342	456	347	370
YBR277C	74	72	89	108	64
YBR278W	214	152	243	226	159
YBR279W	525	521	602	562	576
YBR280C	1073	674	743	1203	730
YBR281C	59	85	140	97	123
YBR282W	213	306	241	181	315
YBR283C	933	1151	1235	816	1135
YBR284W	247	299	256	240	257
YBR285W	2740	1534	1778	4011	1934
YBR286W	9607	6197	6359	9283	6866
YBR287W	2023	1844	1917	1950	2007
YBR288C	149	199	214	135	188
YBR289W	233	278	303	190	269
YBR290W	808	719	958	986	843
YBR291C	193	243	502	313	318
YBR292C	8	4	6	8	7
YBR293W	310	262	376	454	304
YBR294W	414	268	371	811	329
YBR295W	308	448	539	392	443
YBR296C	78	88	112	169	115
YBR296C-A	4	2	2	9	5
YBR297W	1050	464	593	1105	463
YBR298C	2340	1759	1955	2621	1938
YBR298C-A	0	0	1	2	1
YBR299W	16	27	24	15	18
YBR300C	1	1	6	2	1
YBR301W	5	5	8	3	10
YBR302C	23	17	30	18	19
YCL001W	287	270	398	321	358
YCL001W-A	48	36	36	41	25
YCL001W-B	28	21	36	36	21
YCL002C	156	159	194	231	196
YCL004W	172	204	237	195	210
YCL005W	204	183	255	258	219
YCL005W-A	379	412	504	418	417
YCL007C	191	235	311	298	237
YCL008C	478	310	328	478	299
YCL009C	5447	2585	3828	8175	2980
YCL010C	220	161	327	330	293
YCL011C	898	899	1018	936	1009
YCL012C	1033	679	514	824	643
YCL014W	348	282	301	589	283
YCL016C	130	135	178	185	154
YCL017C	924	909	835	1079	952
YCL018W	15644	1994	1635	16844	1953
YCL019W	0	0	0	0	0
YCL020W	0	0	0	0	0
YCL021W-A	36	19	64	68	31
YCL022C	9	18	30	21	47
YCL023C	3	4	7	1	2
YCL024W	43	58	147	98	124
YCL025C	2368	3392	6028	5733	6564
YCL026C-A	34	20	91	238	50
YCL026C-B	111	122	133	69	119
YCL027W	66	82	320	122	136
YCL028W	675	645	757	677	719
YCL029C	110	149	201	134	151
YCL030C	7473	4642	7448	16536	5379
YCL031C	258	320	365	247	328
YCL032W	624	473	477	540	541
YCL033C	968	660	583	769	605
YCL034W	1724	992	1163	1532	1211
YCL035C	3691	3198	2144	2257	2542
YCL036W	112	165	131	75	141
YCL037C	8	9	24	8	15
YCL038C	1029	598	655	927	657
YCL039W	1229	833	789	1138	792
YCL040W	35866	27511	23816	26037	25942
YCL041C	7	12	14	11	8
YCL042W	10	20	12	6	12
YCL043C	3028	4056	5476	2444	4097
YCL044C	427	400	387	391	369
YCL045C	390	483	551	455	562
YCL046W	30	22	37	25	46
YCL047C	183	172	168	217	182
YCL048W	98	84	122	133	100
YCL048W-A	742	213	322	1114	287
YCL049C	578	381	544	728	414
YCL050C	349	498	540	310	566
